,index,amount,unit,reference product,name,location,database,CML 2001 (obsolete) | eutrophication potential | average European,CML 2001 (obsolete) | acidification potential | average European,CML 2001 (obsolete) | photochemical oxidation (summer smog) | high NOx POCP,CML 2001 (obsolete) | climate change | GWP 100a,CML 2001 (obsolete) | ionising radiation | ionising radiation,CML 2001 (obsolete) | freshwater aquatic ecotoxicity | FAETP infinite,CML 2001 (obsolete) | stratospheric ozone depletion | ODP steady state,CML 2001 (obsolete) | human toxicity | HTP infinite
0,"NdO from solvent extraction, primary, Hi-tech | REO solvent extraction, Hi-tech_1 |  | kilogram | REM_replicated_2_2",0.395096026,kilogram,"NdO from solvent extraction, primary, Hi-tech","REO solvent extraction, Hi-tech_1",,REM_replicated_2_2,0.12057991016321322,0.1387649051916659,0.005343773462873647,12.367419057956301,3.9243215947511154e-08,2.7046389969439204,2.479144497598147e-06,35.01870350549211
1,"NdO from solvent extraction, baseline | REO solvent extraction, baseline_1 |  | kilogram | REM_replicated_2_2",0.395096026,kilogram,"NdO from solvent extraction, baseline","REO solvent extraction, baseline_1",,REM_replicated_2_2,0.1460770601826641,0.1711177308173618,0.006540802885591689,13.814162182804356,4.1034062890249364e-08,2.998434791655305,2.675438727740599e-06,140.2443844397896
2,"NdO from solvent extraction, Low-tech | REO solvent extraction, Low-tech_1 |  | kilogram | REM_replicated_2_2",0.395096026,kilogram,"NdO from solvent extraction, Low-tech","REO solvent extraction, Low-tech_1",,REM_replicated_2_2,0.1830323931179033,0.2225708273457156,0.008452374230002278,15.87300968013694,4.348898561972923e-08,3.4628183560671535,2.9538552402145632e-06,322.76748275015274
3,"Magnetised NdFeB magnet, recycled, hand picking | Pulse magnetising and testing of magnet, recycled, hand picking |  | kilogram | REM_replicated_2_2",1.0,kilogram,"Magnetised NdFeB magnet, recycled, hand picking","Pulse magnetising and testing of magnet, recycled, hand picking",,REM_replicated_2_2,0.0076455877088454265,0.026794166219766633,0.0010773498313080207,3.2468100109588924,2.9583999463524234e-08,5.259220209857412,9.336325296916372e-08,3.568362721565161
4,"Magnetised NdFeB magnet, recycled, shredded | Pulse magnetising and testing of magnet, recycling, shredded |  | kilogram | REM_replicated_2_2",1.0,kilogram,"Magnetised NdFeB magnet, recycled, shredded","Pulse magnetising and testing of magnet, recycling, shredded",,REM_replicated_2_2,0.03179097251966495,0.20628348989838774,0.008332134190152564,9.993123094450006,7.893343971887153e-08,11.232486263880176,8.441511848194765e-07,27.857173420953405
5,"Magnetised NdFeB magnet, primary, baseline | pulse magnetising and testing of magnet, primary, baseline |  | kilogram | REM_replicated_2_2",1.0,kilogram,"Magnetised NdFeB magnet, primary, baseline","pulse magnetising and testing of magnet, primary, baseline",,REM_replicated_2_2,0.18884891792212244,0.44016869473101783,0.01715007470908967,26.46512742286829,5.10924455235186e-08,13.883335695215058,2.5892328960331406e-06,148.45917133863585
6,"NdO from solvent extraction, primary, Hi-tech | REO solvent extraction, Hi-tech_1 |  | kilogram | REM2_2",0.395096026,kilogram,"NdO from solvent extraction, primary, Hi-tech","REO solvent extraction, Hi-tech_1",,REM2_2,0.12057991016321322,0.1387649051916659,0.005343773462873647,12.367419057956301,3.9243215947511154e-08,2.7046389969439204,2.479144497598147e-06,35.01870350549211
7,"NdO from solvent extraction, baseline | REO solvent extraction, baseline_1 |  | kilogram | REM2_2",0.395096026,kilogram,"NdO from solvent extraction, baseline","REO solvent extraction, baseline_1",,REM2_2,0.1460770601826641,0.1711177308173618,0.006540802885591689,13.814162182804356,4.1034062890249364e-08,2.998434791655305,2.675438727740599e-06,140.2443844397896
8,"NdO from solvent extraction, Low-tech | REO solvent extraction, Low-tech_1 |  | kilogram | REM2_2",0.395096026,kilogram,"NdO from solvent extraction, Low-tech","REO solvent extraction, Low-tech_1",,REM2_2,0.1830323931179033,0.2225708273457156,0.008452374230002278,15.87300968013694,4.348898561972923e-08,3.4628183560671535,2.9538552402145632e-06,322.76748275015274
9,"Magnetised NdFeB magnet, recycled, hand picking | Pulse magnetising and testing of magnet, recycled, hand picking |  | kilogram | REM2_2",1.0,kilogram,"Magnetised NdFeB magnet, recycled, hand picking","Pulse magnetising and testing of magnet, recycled, hand picking",,REM2_2,0.01757866718487554,0.17427750962175648,0.007492123071636957,4.253672994438616,3.379839580635886e-08,9.761013638544586,1.5652966875730455e-07,11.013392889058768
10,"Magnetised NdFeB magnet, recycled, shredded | Pulse magnetising and testing of magnet, recycling, shredded |  | kilogram | REM2_2",1.0,kilogram,"Magnetised NdFeB magnet, recycled, shredded","Pulse magnetising and testing of magnet, recycling, shredded",,REM2_2,0.0323602235770062,0.20788169559886058,0.00901118478744715,10.213072366857418,7.893343971887153e-08,11.232673044781947,8.441511848194765e-07,28.124507042976788
11,"Magnetised NdFeB magnet, primary, baseline | pulse magnetising and testing of magnet, primary, baseline |  | kilogram | REM2_2",1.0,kilogram,"Magnetised NdFeB magnet, primary, baseline","pulse magnetising and testing of magnet, primary, baseline",,REM2_2,0.18954073190507523,0.4421110030270904,0.017975328684962766,26.73243299960703,5.1092445523518604e-08,13.88356269108609,2.5892328960331406e-06,148.78406337957995
12,"NdO from solvent extraction, primary, Hi-tech | REO solvent extraction, Hi-tech_1 |  | kilogram | REM_unlinked_2_2",0.395096026,kilogram,"NdO from solvent extraction, primary, Hi-tech","REO solvent extraction, Hi-tech_1",,REM_unlinked_2_2,0.1205799101632132,0.13876490519166584,0.005343773462873646,12.3674190579563,3.9243215947511154e-08,2.7046389969439213,2.4791444975981476e-06,35.018703505492105
13,"NdO from solvent extraction, baseline | REO solvent extraction, baseline_1 |  | kilogram | REM_unlinked_2_2",0.395096026,kilogram,"NdO from solvent extraction, baseline","REO solvent extraction, baseline_1",,REM_unlinked_2_2,0.1460770601826641,0.1711177308173618,0.006540802885591689,13.814162182804354,4.1034062890249364e-08,2.9984347916553022,2.675438727740599e-06,140.2443844397896
14,"NdO from solvent extraction, Low-tech | REO solvent extraction, Low-tech_1 |  | kilogram | REM_unlinked_2_2",0.395096026,kilogram,"NdO from solvent extraction, Low-tech","REO solvent extraction, Low-tech_1",,REM_unlinked_2_2,0.1830323931179033,0.2225708273457156,0.008452374230002278,15.87300968013694,4.348898561972923e-08,3.4628183560671535,2.953855240214563e-06,322.76748275015274
15,"Magnetised NdFeB magnet, recycled, hand picking | Pulse magnetising and testing of magnet, recycled, hand picking |  | kilogram | REM_unlinked_2_2",1.0,kilogram,"Magnetised NdFeB magnet, recycled, hand picking","Pulse magnetising and testing of magnet, recycled, hand picking",,REM_unlinked_2_2,0.017009416127534288,0.17267930392128367,0.006813072474342369,4.033723722031202,3.379839580635886e-08,9.760826857642815,1.5652966875730455e-07,10.746059267035381
16,"Magnetised NdFeB magnet, recycled, shredded | Pulse magnetising and testing of magnet, recycling, shredded |  | kilogram | REM_unlinked_2_2",1.0,kilogram,"Magnetised NdFeB magnet, recycled, shredded","Pulse magnetising and testing of magnet, recycling, shredded",,REM_unlinked_2_2,0.03179097251966495,0.20628348989838774,0.008332134190152565,9.993123094450004,7.893343971887153e-08,11.232486263880169,8.441511848194761e-07,27.8571734209534
17,"Magnetised NdFeB magnet, primary, baseline | pulse magnetising and testing of magnet, primary, baseline |  | kilogram | REM_unlinked_2_2",1.0,kilogram,"Magnetised NdFeB magnet, primary, baseline","pulse magnetising and testing of magnet, primary, baseline",,REM_unlinked_2_2,0.18884891792212233,0.44016869473101783,0.01715007470908967,26.46512742286829,5.109244552351862e-08,13.883335695215054,2.5892328960331393e-06,148.4591713386358
